sap-id;street;zip;place;state;network-address
4857;Via Locarno 104;6616;Losone IT;TI;10.110.238.240
4859;Neue Aarburgerstrasse 2;4852;Rothrist;AG;10.110.239.0
4863;Via Sonvico 5;6952;Canobbio/TI;TI;10.110.239.16
4864;Egnacherstrasse 1;9320;Arbon;TG;10.110.239.32
4869;Worbstrasse 229;3073;Gümligen BE;BE;10.110.239.48
4874;Allée du Port;2013;Colombier NE;NE;10.110.239.64
4877;Frauenfelderstrasse 93;9548;Matzingen TG;TG;10.110.239.80
4892;Landquartstrasse 84;9320;Arbon;TG;10.110.239.96
4894;Badenerstrasse 44;8004;Zürich;ZH;10.110.242.160
4933;Luzernerstrasse 80;6037;Root;LU;10.110.242.240
4934;Autobahnraststätte Heidiland;7304;Maienfeld GR;GR;10.110.239.112
4939;Rue du Clos 16;1800;Vevey;VD;10.110.239.128
4962;Rue de la Madeleine 2;1964;Conthey;VS;0
4963;Wässeristrasse 38;8340;Hinwil;ZH;10.110.239.144
4965;Erlenweg 1;8305;Dietlikon;ZH;10.110.239.160
4994;Landstrasse 151;5430;Wettingen;AG;10.110.239.176
5002;Hauptstrasse 14;5737;Menziken;AG;10.110.224.176
5007;Landstrasse 166;5415;Nussbaumen;AG;10.110.239.192
5095;Allmendstrasse 49;2562;Port;BE;10.110.239.208
5106;Zürichstrasse 75;8840;Einsiedeln;SZ;10.110.224.112
5159;Sandstrasse 8;3322;Urtenen-Schönbühl;BE;10.110.239.224
5160;Rugenparkstrasse 19;3800;Interlaken;BE;10.110.243.0
5161;Schaffhausertrasse 29;8152;Opfikon-Glattbrugg;ZH;10.110.239.240
5162;Limmattalstrasse 25;8954;Geroldswil;ZH;10.110.240.0
5163;Spundisstrasse 11;7000;Chur / GR;GR;10.110.240.16
5164;Zürcherstrasse 74;8852;Altendorf;SZ;10.110.240.32
5167;Hofwiesenstrasse 369;8050;Zürich Oerlikon;ZH;10.110.240.48
5176;Chemin de la Maraîche 35;1926;Fully;VS;10.110.225.16
5177;Via Monte Ceneri 20;6512;Giubiasco;TI;10.110.225.176
5179;Via Rinaldo Simen 58;6648;Minusio;TI;10.110.240.64
5232;Bahnhofstrasse 29;8200;Schaffhausen;SH;10.110.240.80
5241;Rue de la Cité 3;1204;Genève;GE;10.110.240.96
5242;Place Cornavin 14;1201;Genève;GE;10.110.240.112
5245;Hohlstrasse 461;8048;Zürich;ZH;10.110.240.128
5246;Tessinerplatz 3;8002;Zürich;ZH;10.110.242.176
5304;Place de la Gare 1;1860;Aigle;VD;10.110.240.144
5318;Via Cantonale 12;6983;Magliaso;TI;10.110.242.192
5319;Allmendstrasse 38;3600;Thun;BE;10.110.226.16
